DateTime,stage 1 feed conductivity (us/cm),stage 1 feed pressure (psi),stage 1 permeate flowrate (gpm),stage 1 permeate conductivity (us/cm),stage 1 concentrate flowrate (gpm),stage 1 concentrate pressure (psi),stage 2 feed pressure (psi),stage 2 permeate flowrate (gpm),stage 2 permeate conductivity (us/cm),stage 2 concentrate flowrate (gpm),stage 2 concentrate pressure (psi),stage 2 concentrate conductivity (us/cm),stage 1 feed flowrate (gpm),stage 1 feed salinity (g/L),stage 1 permeate salinity (g/L),stage 2 feed flowrate (gpm),stage 2 feed salinity (g/L),stage 2 permeate salinity (g/L)
8/1/2021,1076.97998,147.4100037,1589.5,25.97999954,1042.649994,135.6600037,159.9400024,647.5700073,43.75,395.0799866,152.8899994,6624.75,2632.1499940000003,0.5384899900000001,0.012989999770000002,1042.6499939,1.3792107004816951,0.021875000000000002
8/2/2021,1077.049927,146.5500031,1601.329956,26.0,1041.800018,134.6299896,159.6699982,645.7000122,43.75,396.1000061,152.5299988,6619.5,2643.129974,0.5385249635,0.013000000000000001,1041.8000183,1.386262946102297,0.021875000000000002
8/3/2021,1086.140015,147.2599945,1595.179932,26.87999916,1050.909943,135.1799927,160.7299957,650.5799561,44.0,400.3299866,153.4799957,6674.869629,2646.089875,0.5430700075,0.01343999958,1050.9099427,1.3877985222165021,0.022
8/4/2021,1055.339966,145.8799896,1623.73999,26.87999916,1052.209991,133.7099915,159.3499908,650.0,43.05999756,402.2099915,151.7599945,6477.5,2675.9499809999998,0.527669983,0.01343999958,1052.2099915,1.3626952395729053,0.02152999878
8/5/2021,1025.589966,143.9799957,1583.309937,26.0,1047.609985,131.8399963,157.4599915,651.1199951,42.75,396.4899902,150.25,6287.310059,2630.919922,0.512794983,0.013000000000000001,1047.6099853,1.3074575323538478,0.021375
8/6/2021,1105.619995,146.5200043,1590.529907,27.0,1053.959991,134.0200043,160.4499969,651.7600098,46.12999725,402.1999817,153.019989,6713.429688,2644.489898,0.5528099975,0.0135,1053.9599915000001,1.407427815394802,0.023064998625000003
8/7/2021,1102.400024,147.5099945,1603.069946,27.02999878,1047.019989,135.0800018,160.1699982,648.0,46.25,399.019989,152.7799988,6752.869629,2650.089935,0.551200012,0.01351499939,1047.019989,1.415823106425332,0.023125
8/10/2021,983.6199951,142.8499908,1595.52002,22.87999916,1038.98996,130.3000031,152.8399963,645.789978,43.87999725,393.1999817,145.3399963,5952.409668,2634.50998,0.49180999755,0.01143999958,1038.9899597,1.2646234764077333,0.021939998625000002
8/11/2021,1077.169922,144.3899994,1608.400024,25.0,1049.279938,131.6999969,158.6399994,651.2699585,44.0,398.0099792,151.0500031,6589.509766,2657.679962,0.5385849610000001,0.0125,1049.2799377000001,1.383321463051028,0.022
8/13/2021,1094.02002,143.2899933,1637.25,25.96999931,1043.73999,131.0200043,159.0800018,644.2000122,47.0,399.539978,151.3300018,6714.469727,2680.98999,0.5470100099999999,0.012984999655,1043.7399902,1.4254393490518156,0.0235
